ecmf prod rt 2018011500 51 046
0240 pf 45 1.191 -0.205 1.208 4
0240 pf 46 1.212 1.002 1.573 5
0240 pf 47 0.878 0.930 1.279 6
0240 pf 48 0.705 0.383 0.802 5
0240 pf 49 0.629 0.294 0.694 5
0240 pf 50 1.002 1.054 1.454 6
0264 em 00 0.681 0.834 1.076 6
0264 cf 00 0.261 0.346 0.433 6
0264 pf 01 0.667 1.150 1.330 6
0264 pf 02 0.334 0.488 0.592 6
0264 pf 03 0.493 1.103 1.208 6
0264 pf 04 -0.086 1.126 1.129 7
0264 pf 05 0.261 0.395 0.474 6
0264 pf 06 0.756 0.877 1.158 6
0264 pf 07 0.453 0.357 0.577 5
0264 pf 08 0.623 0.935 1.124 6
0264 pf 09 0.243 0.429 0.493 6
0264 pf 10 0.861 1.068 1.372 6
0264 pf 11 0.803 1.733 1.910 6
0264 pf 12 0.894 0.899 1.268 6
0264 pf 13 0.698 1.159 1.353 6
0264 pf 14 1.176 0.365 1.232 5
0264 pf 15 1.238 0.962 1.568 5
0264 pf 16 0.814 0.950 1.251 6
0264 pf 17 0.414 0.303 0.513 5
0264 pf 18 0.620 0.620 0.877 6
0264 pf 19 0.507 0.543 0.742 6
0264 pf 20 1.211 0.976 1.555 5
0264 pf 21 0.518 0.448 0.685 5
0264 pf 22 1.051 0.650 1.236 5
0264 pf 23 1.095 0.835 1.377 5
0264 pf 24 0.578 0.903 1.072 6
0264 pf 25 0.767 0.083 0.772 5
0264 pf 26 0.823 1.101 1.375 6
0264 pf 27 0.533 0.191 0.566 5
0264 pf 28 0.820 1.528 1.734 6
0264 pf 29 0.396 0.498 0.637 6
0264 pf 30 0.499 1.074 1.184 6
0264 pf 31 0.651 1.108 1.285 6
0264 pf 32 1.146 0.672 1.328 5
0264 pf 33 0.100 1.168 1.172 6
0264 pf 34 0.991 0.692 1.208 5
0264 pf 35 0.754 0.847 1.134 6
0264 pf 36 0.343 0.982 1.040 6
0264 pf 37 1.268 1.207 1.750 5
0264 pf 38 0.908 0.950 1.314 6
0264 pf 39 0.805 1.317 1.544 6
0264 pf 40 0.508 1.250 1.349 6
0264 pf 41 1.115 0.915 1.443 5
0264 pf 42 -0.043 0.602 0.604 7
0264 pf 43 1.151 1.087 1.583 5
0264 pf 44 -0.111 0.533 0.544 7
0264 pf 45 1.088 0.022 1.089 5
0264 pf 46 0.965 1.430 1.725 6
0264 pf 47 0.725 1.247 1.443 6
0264 pf 48 0.393 0.726 0.826 6
0264 pf 49 0.121 0.434 0.451 6
0264 pf 50 0.883 1.017 1.347 6
0288 em 00 0.454 0.974 1.075 6
0288 cf 00 0.179 0.574 0.601 6
0288 pf 01 0.507 1.307 1.402 6
0288 pf 02 0.327 0.654 0.731 6
0288 pf 03 0.210 1.240 1.258 6
0288 pf 04 -0.486 1.211 1.305 7
0288 pf 05 0.212 0.141 0.255 5
0288 pf 06 0.399 0.869 0.956 6
0288 pf 07 0.326 0.515 0.609 6
0288 pf 08 0.263 0.920 0.957 6
0288 pf 09 -0.008 0.290 0.290 7
0288 pf 10 0.607 1.202 1.346 6
0288 pf 11 0.421 1.847 1.895 6
0288 pf 12 0.655 1.075 1.259 6
0288 pf 13 0.719 1.264 1.454 6
0288 pf 14 0.743 0.687 1.012 5
0288 pf 15 0.882 1.240 1.521 6
0288 pf 16 0.509 1.330 1.424 6
0288 pf 17 0.011 0.468 0.468 6
0288 pf 18 0.381 0.374 0.534 5
0288 pf 19 0.254 0.872 0.908 6
0288 pf 20 1.148 1.293 1.729 6
0288 pf 21 0.241 0.505 0.560 6
0288 pf 22 0.992 0.781 1.262 5
0288 pf 23 0.765 0.799 1.107 6
0288 pf 24 0.352 1.094 1.149 6
0288 pf 25 0.792 0.445 0.909 5
0288 pf 26 0.602 1.176 1.321 6
0288 pf 27 0.538 0.362 0.649 5
0288 pf 28 0.379 1.744 1.785 6
0288 pf 29 0.179 0.497 0.528 6
0288 pf 30 0.157 1.254 1.264 6
0288 pf 31 -0.019 1.071 1.071 7
0288 pf 32 0.836 0.647 1.057 5
0288 pf 33 0.085 1.311 1.314 6
0288 pf 34 1.221 1.116 1.654 5
0288 pf 35 0.401 0.811 0.904 6
0288 pf 36 0.348 0.880 0.946 6
0288 pf 37 0.842 1.477 1.700 6
0288 pf 38 0.687 1.193 1.377 6
0288 pf 39 0.504 1.404 1.492 6
0288 pf 40 0.219 1.264 1.283 6
0288 pf 41 0.793 1.186 1.427 6
0288 pf 42 -0.020 0.638 0.638 7
